1200 2246437.72829 2214249.02975 2132762.33225 2120162.49112 2117948.40142
1400 2697232.12447 2532766.13673 2581872.92033 2579228.87442 2543350.14017
1600 2974455.08044 2949896.76437 2830994.53416 2963642.95851 3075371.74102
1800 3383163.55122 3365083.35879 3339627.02639 3345626.40488 3321832.34307
2000 3656614.2019 3618974.16783 3635333.35792 3669356.60802 3669269.71374
2200 4108913.15037 4039345.86638 3903476.752 3851294.09723 4051701.96786
2400 4277644.593 4356715.06493 4346206.13736 4501731.20374 4344674.00668
2600 4699531.67961 4748876.5424 4687469.26229 4583398.09648 4748372.02186
2800 5085061.01065 5130480.91225 5097102.51294 5030306.9999 5147474.53464
3000 5186601.30901 5372463.50546 5547602.32068 5447233.38161 5256893.93138
