#TX Load-min Load-q1 Load-median Load-q3 Load-max Miss-min Miss-q1 Miss-median Miss-q3 Miss-max
9.946868e+10 6.558150e+05 6.562720e+05 6.571270e+05 6.584620e+05 6.642680e+05 5.883900e+05 5.894130e+05 5.902290e+05 5.913350e+05 5.967670e+05
1.066740e+10 3.735920e+04 3.749070e+04 4.343160e+04 4.410100e+04 4.637830e+04 1.096280e+03 1.108190e+03 1.117320e+03 1.120270e+03 1.147300e+03
2.142934e+10 7.195400e+04 7.273860e+04 7.287070e+04 7.296430e+04 7.354430e+04 1.931590e+03 1.998000e+03 2.112070e+03 2.118770e+03 2.129650e+03
3.212960e+10 9.159490e+04 9.269170e+04 9.492060e+04 9.581610e+04 9.719570e+04 6.326310e+03 6.398270e+03 6.420990e+03 9.887190e+03 1.102490e+04
4.280818e+10 1.890580e+05 1.935420e+05 1.937510e+05 1.939750e+05 2.145470e+05 9.989590e+04 1.048750e+05 1.059850e+05 1.076530e+05 1.277300e+05
5.366694e+10 6.232510e+05 6.294870e+05 6.324340e+05 6.385480e+05 6.460720e+05 5.483320e+05 5.550150e+05 5.584890e+05 5.629790e+05 5.731050e+05
6.398550e+10 6.354810e+05 6.465640e+05 6.538620e+05 6.553900e+05 6.587050e+05 5.627880e+05 5.746380e+05 5.826000e+05 5.834980e+05 5.890750e+05
7.475067e+10 6.221100e+05 6.343420e+05 6.546860e+05 6.562240e+05 6.599070e+05 5.537570e+05 5.644230e+05 5.838840e+05 5.858710e+05 5.918070e+05
8.098666e+10 6.172240e+05 6.266770e+05 6.386800e+05 6.476580e+05 6.575680e+05 5.484820e+05 5.563380e+05 5.699300e+05 5.761840e+05 5.867510e+05
8.567028e+10 6.210490e+05 6.355850e+05 6.377450e+05 6.424310e+05 6.488350e+05 5.500980e+05 5.661560e+05 5.667990e+05 5.739710e+05 5.804830e+05
9.069009e+10 6.285650e+05 6.398100e+05 6.416670e+05 6.492910e+05 6.537250e+05 5.606290e+05 5.718570e+05 5.728050e+05 5.816300e+05 5.861840e+05
9.593444e+10 6.386610e+05 6.400530e+05 6.410420e+05 6.456380e+05 6.575880e+05 5.696480e+05 5.705750e+05 5.724260e+05 5.755050e+05 5.889750e+05
9.949305e+10 6.327550e+05 6.481790e+05 6.579070e+05 6.579780e+05 6.580880e+05 5.691320e+05 5.804250e+05 5.893510e+05 5.895810e+05 5.901820e+05
9.945470e+10 6.446620e+05 6.580940e+05 6.581340e+05 6.639930e+05 6.660980e+05 5.780430e+05 5.892860e+05 5.898990e+05 5.974940e+05 5.979390e+05
9.947558e+10 6.404320e+05 6.542240e+05 6.645780e+05 6.660590e+05 6.811100e+05 5.749480e+05 5.866620e+05 5.952200e+05 5.963550e+05 6.145870e+05
9.944092e+10 6.528910e+05 6.533960e+05 6.547690e+05 6.620450e+05 6.626960e+05 5.855460e+05 5.856620e+05 5.882460e+05 5.928870e+05 5.945210e+05
