#TX Throughput-min Throughput-q1 Throughput-median Throughput-q3 Throughput-max LAT99-min LAT99-q1 LAT99-median LAT99-q3 LAT99-max
9.946868e+10 5.151055e+10 5.160712e+10 5.165135e+10 5.169756e+10 5.170797e+10 4.560000e+02 4.567500e+02 4.567500e+02 4.577500e+02 4.580000e+02
1.066740e+10 1.062822e+10 1.066088e+10 1.066290e+10 1.071876e+10 1.081660e+10 7.375000e+01 7.375000e+01 7.400000e+01 7.475000e+01 7.525000e+01
2.142934e+10 2.131002e+10 2.133801e+10 2.139845e+10 2.146034e+10 2.155892e+10 6.000000e+01 6.025000e+01 6.050000e+01 6.075000e+01 6.125000e+01
3.212960e+10 3.172622e+10 3.193460e+10 3.204217e+10 3.215194e+10 3.245359e+10 1.252500e+02 1.665000e+02 1.840000e+02 1.855000e+02 3.040000e+02
4.280818e+10 4.225467e+10 4.249304e+10 4.252595e+10 4.253331e+10 4.306251e+10 3.175000e+02 3.242500e+02 3.287500e+02 3.400000e+02 3.405000e+02
5.366694e+10 5.056027e+10 5.076720e+10 5.083397e+10 5.097582e+10 5.098488e+10 3.590000e+02 3.600000e+02 3.605000e+02 3.615000e+02 3.615000e+02
6.398550e+10 5.082213e+10 5.120742e+10 5.124120e+10 5.143385e+10 5.165746e+10 3.752500e+02 3.762500e+02 3.787500e+02 3.790000e+02 3.800000e+02
7.475067e+10 5.125840e+10 5.144477e+10 5.146452e+10 5.168518e+10 5.187799e+10 4.070000e+02 4.107500e+02 4.115000e+02 4.127500e+02 4.137500e+02
8.098666e+10 5.002905e+10 5.161797e+10 5.173031e+10 5.221685e+10 5.236012e+10 4.180000e+02 4.192500e+02 4.200000e+02 4.202500e+02 4.287500e+02
8.567028e+10 5.149408e+10 5.156817e+10 5.206448e+10 5.211341e+10 5.239894e+10 4.257500e+02 4.267500e+02 4.270000e+02 4.280000e+02 4.282500e+02
9.069009e+10 5.184596e+10 5.203184e+10 5.211647e+10 5.226274e+10 5.240144e+10 4.317500e+02 4.340000e+02 4.340000e+02 4.347500e+02 4.357500e+02
9.593444e+10 5.208846e+10 5.216845e+10 5.240613e+10 5.269827e+10 5.316201e+10 4.420000e+02 4.425000e+02 4.430000e+02 4.440000e+02 4.442500e+02
9.949305e+10 5.164070e+10 5.200828e+10 5.238587e+10 5.240620e+10 5.268360e+10 4.547500e+02 4.547500e+02 4.552500e+02 4.557500e+02 4.565000e+02
9.945470e+10 5.028305e+10 5.084205e+10 5.158292e+10 5.169028e+10 5.172030e+10 4.565000e+02 4.570000e+02 4.577500e+02 4.620000e+02 4.652500e+02
9.947558e+10 5.127921e+10 5.135340e+10 5.153978e+10 5.165624e+10 5.261758e+10 4.565000e+02 4.570000e+02 4.575000e+02 4.577500e+02 4.612500e+02
9.944092e+10 5.147738e+10 5.156635e+10 5.157754e+10 5.160869e+10 5.162677e+10 4.575000e+02 4.577500e+02 4.577500e+02 4.582500e+02 4.615000e+02
