#TX Throughput-min Throughput-q1 Throughput-median Throughput-q3 Throughput-max LAT99-min LAT99-q1 LAT99-median LAT99-q3 LAT99-max
9.941907e+10 8.792287e+10 8.794070e+10 8.801235e+10 8.811040e+10 8.814246e+10 3.180000e+02 3.180000e+02 3.190000e+02 3.190000e+02 3.190000e+02
1.067657e+10 1.064434e+10 1.064541e+10 1.067613e+10 1.068675e+10 1.078774e+10 1.725000e+01 1.725000e+01 1.725000e+01 1.725000e+01 1.750000e+01
2.138671e+10 2.136827e+10 2.137348e+10 2.138486e+10 2.138991e+10 2.144328e+10 1.850000e+01 1.850000e+01 1.875000e+01 1.900000e+01 1.900000e+01
3.213361e+10 3.202996e+10 3.206827e+10 3.212839e+10 3.216444e+10 3.239521e+10 2.050000e+01 2.075000e+01 2.075000e+01 2.075000e+01 2.100000e+01
4.284227e+10 4.261226e+10 4.267844e+10 4.275826e+10 4.282944e+10 4.371922e+10 2.275000e+01 2.275000e+01 2.300000e+01 2.325000e+01 2.325000e+01
5.327063e+10 5.313084e+10 5.321729e+10 5.324438e+10 5.342469e+10 5.342670e+10 2.500000e+01 2.500000e+01 2.525000e+01 2.525000e+01 2.525000e+01
6.446532e+10 6.374807e+10 6.407087e+10 6.439506e+10 6.460677e+10 6.493411e+10 2.825000e+01 2.875000e+01 2.875000e+01 2.900000e+01 2.900000e+01
7.499567e+10 7.454249e+10 7.459060e+10 7.472952e+10 7.502740e+10 7.530835e+10 3.400000e+01 3.400000e+01 3.400000e+01 3.400000e+01 3.425000e+01
8.091169e+10 7.948191e+10 8.004817e+10 8.011541e+10 8.017698e+10 8.027296e+10 3.900000e+01 3.925000e+01 3.925000e+01 3.925000e+01 3.950000e+01
8.543626e+10 8.401699e+10 8.437896e+10 8.439369e+10 8.459815e+10 8.464896e+10 5.025000e+01 5.225000e+01 5.250000e+01 5.400000e+01 5.450000e+01
9.064083e+10 8.726744e+10 8.746291e+10 8.747760e+10 8.759034e+10 8.761838e+10 1.772500e+02 1.855000e+02 1.867500e+02 1.880000e+02 1.905000e+02
9.579648e+10 8.833096e+10 8.834144e+10 8.853586e+10 8.859027e+10 8.876282e+10 2.367500e+02 2.390000e+02 2.402500e+02 2.417500e+02 2.435000e+02
9.946786e+10 8.826148e+10 8.833897e+10 8.857023e+10 8.870893e+10 8.873736e+10 3.087500e+02 3.090000e+02 3.130000e+02 3.137500e+02 3.182500e+02
9.938841e+10 8.767981e+10 8.783874e+10 8.801072e+10 8.801201e+10 8.812585e+10 3.182500e+02 3.190000e+02 3.195000e+02 3.205000e+02 3.205000e+02
9.940309e+10 8.795797e+10 8.800195e+10 8.802593e+10 8.812898e+10 8.860084e+10 3.175000e+02 3.190000e+02 3.192500e+02 3.192500e+02 3.200000e+02
9.938751e+10 8.790750e+10 8.792813e+10 8.797990e+10 8.798919e+10 8.802189e+10 3.185000e+02 3.190000e+02 3.197500e+02 3.200000e+02 3.202500e+02
