#X pps-median pps-min pps-max
64 1.016205e+07 9.465284e+06 1.018356e+07
192 1.010893e+07 1.006990e+07 1.012497e+07
320 1.018042e+07 1.011554e+07 1.018757e+07
448 1.016290e+07 9.990783e+06 1.017273e+07
576 1.003309e+07 9.973867e+06 1.005995e+07
704 1.001723e+07 1.000885e+07 1.003033e+07
832 1.001092e+07 9.985793e+06 1.002347e+07
960 1.002646e+07 1.000868e+07 1.003821e+07
1088 1.004593e+07 1.003355e+07 1.006887e+07
1216 9.329904e+06 9.321223e+06 9.337607e+06
1344 8.509879e+06 8.509317e+06 8.510599e+06
1472 7.863111e+06 7.861998e+06 7.869009e+06
1500 7.698609e+06 7.696836e+06 7.703679e+06
