#X Throughput-median Throughput-min Throughput-max
64 9.066867e+09 9.040485e+09 9.081450e+09
192 2.254112e+10 2.231008e+10 2.258696e+10
320 3.567476e+10 3.557041e+10 3.575601e+10
448 4.874260e+10 4.863520e+10 4.894607e+10
576 6.167700e+10 5.665195e+10 6.185018e+10
704 7.510839e+10 7.462779e+10 7.536312e+10
832 8.308925e+10 8.290700e+10 8.318056e+10
960 8.616099e+10 8.608122e+10 8.618290e+10
1088 9.023785e+10 9.019941e+10 9.037947e+10
1216 9.170378e+10 9.163398e+10 9.176186e+10
1344 9.242539e+10 9.240679e+10 9.248106e+10
1472 9.369152e+10 9.363870e+10 9.372887e+10
1500 9.370126e+10 9.364364e+10 9.371127e+10
