#X pps-median pps-min pps-max
64 8.230511e+06 8.216876e+06 8.266555e+06
192 8.250567e+06 8.171334e+06 8.270491e+06
320 8.090457e+06 7.951934e+06 8.282680e+06
448 8.176414e+06 8.150946e+06 8.191289e+06
576 8.190223e+06 8.123754e+06 8.210799e+06
704 8.212959e+06 7.887160e+06 8.248058e+06
832 8.196582e+06 7.770040e+06 8.222484e+06
960 8.170185e+06 8.121441e+06 8.198018e+06
1088 8.208101e+06 8.141438e+06 8.224328e+06
1216 8.223619e+06 8.185381e+06 8.230869e+06
1344 8.203293e+06 8.041568e+06 8.243382e+06
1472 7.857120e+06 7.854236e+06 7.858332e+06
1500 7.692219e+06 7.690261e+06 7.694797e+06
