#X Throughput-median Throughput-min Throughput-max
64 5.794280e+09 5.784681e+09 5.819655e+09
192 1.425698e+10 1.412007e+10 1.429141e+10
320 2.226494e+10 2.188372e+10 2.279394e+10
448 3.087414e+10 3.077797e+10 3.093031e+10
576 3.931307e+10 3.899402e+10 3.941183e+10
704 4.783227e+10 4.593482e+10 4.803669e+10
832 5.613020e+10 5.320923e+10 5.630757e+10
960 6.431570e+10 6.393198e+10 6.453480e+10
1088 7.301927e+10 7.242623e+10 7.316363e+10
1216 8.157830e+10 8.119898e+10 8.165022e+10
1344 8.977684e+10 8.800692e+10 9.021557e+10
1472 9.403401e+10 9.399949e+10 9.404852e+10
1500 9.378354e+10 9.375967e+10 9.381496e+10
