#X lat99-median lat99-min lat99-max
64 1.097500e+02 1.095000e+02 1.100000e+02
192 1.260000e+02 1.107500e+02 1.507500e+02
320 1.520000e+02 1.510000e+02 1.520000e+02
448 1.590000e+02 1.497500e+02 1.597500e+02
576 2.047500e+02 1.972500e+02 2.060000e+02
704 2.212500e+02 2.207500e+02 2.232500e+02
832 2.392500e+02 2.385000e+02 2.400000e+02
960 3.167500e+02 3.155000e+02 3.265000e+02
1088 2.507500e+02 2.502500e+02 2.972500e+02
1216 2.755000e+02 2.752500e+02 2.755000e+02
1344 3.012500e+02 3.007500e+02 3.012500e+02
1472 3.260000e+02 3.255000e+02 3.265000e+02
1500 3.317500e+02 3.315000e+02 3.317500e+02
