#X lat99-median lat99-min lat99-max
64 1.130000e+02 1.127500e+02 1.130000e+02
192 1.537500e+02 1.530000e+02 1.550000e+02
320 1.597500e+02 1.580000e+02 1.600000e+02
448 1.645000e+02 1.642500e+02 1.662500e+02
576 2.040000e+02 2.035000e+02 2.052500e+02
704 2.197500e+02 2.192500e+02 2.217500e+02
832 2.872500e+02 2.835000e+02 2.982500e+02
960 3.370000e+02 3.365000e+02 3.377500e+02
1088 3.667500e+02 3.665000e+02 3.675000e+02
1216 4.005000e+02 4.005000e+02 4.005000e+02
1344 4.332500e+02 4.327500e+02 4.405000e+02
1472 4.670000e+02 4.667500e+02 4.670000e+02
1500 4.762500e+02 4.757500e+02 4.837500e+02
