#X Throughput-median Throughput-min Throughput-max
64 8.233035e+09 8.200433e+09 8.242503e+09
192 2.024780e+10 2.023731e+10 2.026523e+10
320 3.216999e+10 3.201000e+10 3.231241e+10
448 4.406622e+10 4.181854e+10 4.427259e+10
576 5.549683e+10 5.540720e+10 5.569323e+10
704 6.728620e+10 6.620402e+10 6.733016e+10
832 7.739746e+10 7.738561e+10 7.747275e+10
960 8.272389e+10 8.260516e+10 8.274571e+10
1088 8.849849e+10 8.827214e+10 8.851909e+10
1216 9.001103e+10 8.995749e+10 9.009392e+10
1344 9.143466e+10 9.125156e+10 9.151203e+10
1472 9.274682e+10 9.274427e+10 9.324716e+10
1500 9.314212e+10 9.304938e+10 9.318322e+10
