#X lat99-median lat99-min lat99-max
64 9.800000e+01 9.725000e+01 1.890000e+02
192 9.900000e+01 9.900000e+01 1.480000e+02
320 1.510000e+02 1.370000e+02 1.530000e+02
448 1.467500e+02 1.432500e+02 1.490000e+02
576 1.960000e+02 1.940000e+02 1.960000e+02
704 2.597500e+02 2.225000e+02 2.670000e+02
832 2.795000e+02 2.765000e+02 2.805000e+02
960 2.450000e+02 2.447500e+02 2.450000e+02
1088 2.680000e+02 2.680000e+02 2.685000e+02
1216 2.735000e+02 2.735000e+02 2.737500e+02
1344 3.000000e+02 3.000000e+02 3.005000e+02
1472 3.257500e+02 3.250000e+02 3.260000e+02
1500 3.315000e+02 3.310000e+02 3.320000e+02
