#X lat99-median lat99-min lat99-max
64 6.500000e+01 6.075000e+01 6.600000e+01
192 6.500000e+01 6.400000e+01 7.100000e+01
320 7.400000e+01 7.200000e+01 7.900000e+01
448 1.765000e+02 1.755000e+02 1.877500e+02
576 2.430000e+02 2.417500e+02 2.435000e+02
704 2.745000e+02 2.745000e+02 2.747500e+02
832 3.072500e+02 3.067500e+02 3.080000e+02
960 3.372500e+02 3.370000e+02 3.380000e+02
1088 3.707500e+02 3.705000e+02 3.710000e+02
1216 4.045000e+02 4.042500e+02 4.047500e+02
1344 4.395000e+02 4.390000e+02 4.405000e+02
1472 4.750000e+02 4.742500e+02 4.750000e+02
1500 4.842500e+02 4.835000e+02 4.842500e+02
