#X lat99-median lat99-min lat99-max
64 2.002500e+02 1.992500e+02 2.007500e+02
192 1.445000e+02 1.435000e+02 1.470000e+02
320 1.350000e+02 1.335000e+02 1.375000e+02
448 1.387500e+02 1.367500e+02 1.465000e+02
576 2.312500e+02 2.312500e+02 2.430000e+02
704 2.665000e+02 2.657500e+02 2.737500e+02
832 2.980000e+02 2.975000e+02 3.070000e+02
960 3.287500e+02 3.277500e+02 3.370000e+02
1088 3.670000e+02 3.665000e+02 3.677500e+02
1216 4.040000e+02 3.997500e+02 4.045000e+02
1344 4.387500e+02 4.322500e+02 4.395000e+02
1472 4.742500e+02 4.680000e+02 4.745000e+02
1500 4.827500e+02 4.750000e+02 4.837500e+02
